id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width,area
909462,-1.2765000000000002,-1.4357,12.7554,-2.2518000000000002,-2.5482,12.0122,0.0,0.0,0.0,0
1002454,-1.4228,-1.4296000000000002,2.5842,-2.3372,-2.5482,1.841,0.0,0.0,0.0,0
1002781,-0.5084000000000001,-1.0699,2.5842,-1.3618000000000001,-2.1977,1.841,0.0,0.0,0.0,0
1003894,-3.3488,-0.5335,2.5842,-4.1215,-1.6063999999999998,1.841,0.0,0.0,0.0,0
1003897,-3.5091,-1.6368,2.5842,-4.1215,-2.1535,1.841,0.0,0.0,0.0,0
1003905,-2.3612,-1.0821,2.5842,-3.4787,-2.5482,1.841,0.0,0.0,0.0,0
1004065,-1.462,-0.5213,2.5842,-2.1172,-1.0516,1.841,0.0,0.0,0.0,0
1079040,-4.8233,4.2954,4.4252,-5.8901,3.3962000000000003,3.682,0.0,0.0,0.0,0
1079042,-4.8233,3.3657,4.4252,-5.8901,2.4666,3.682,0.0,0.0,0.0,0
1079044,-4.9545,2.4361,4.4252,-5.426900000000001,1.8400999999999998,3.682,0.0,0.0,0.0,0
1079046,-3.781,1.7791,4.4252,-4.8433,0.9192,3.682,0.0,0.0,0.0,0
1079049,0.2249,0.8734999999999999,4.4252,-0.8526,0.0124,3.682,0.0,0.0,0.0,0
1079051,1.4181000000000001,0.3309,4.4252,0.2859,-0.614,3.682,0.0,0.0,0.0,0
1079053,-5.7913,-0.6445000000000001,4.4252,-6.2648,-1.3455000000000001,3.682,0.0,0.0,0.0,0
1079055,-4.9195,0.3309,4.4252,-6.0509,-0.614,3.682,0.0,0.0,0.0,0
1079057,-3.781,0.8734999999999999,4.4252,-4.8586,0.0124,3.682,0.0,0.0,0.0,0
1079061,-0.9136,0.4696,4.4252,-1.098,0.0122,3.682,0.0,0.0,0.0,0
1079062,1.6166999999999998,-1.376,4.4252,0.8294,-2.5482,3.682,0.0,0.0,0.0,0
1079067,-4.2038,-1.3144,4.4252,-4.9757,-2.5482,3.682,0.0,0.0,0.0,0
1079069,-4.9757,-1.3394,4.4252,-6.2495,-2.5482,3.682,0.0,0.0,0.0,0
1079071,1.632,-0.6445000000000001,4.4252,1.1595,-1.3455000000000001,3.682,0.0,0.0,0.0,0
1079073,-4.2888,5.377400000000001,4.4252,-5.448099999999999,3.9753,3.682,0.0,0.0,0.0,0
1079075,1.2564,4.2954,4.4252,0.18960000000000002,3.3962000000000003,3.682,0.0,0.0,0.0,0
1079077,0.8144,5.377400000000001,4.4252,-0.34490000000000004,3.9753,3.682,0.0,0.0,0.0,0
