ID,Xmin,Ymin,Xmax,Ymax,Zmin,Zmax,Area,Length,Height,Width,Space,Wall,Door,Window
36633819,0.583564561,15.69272162,3.352593432,19.67688411,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36633919,-4.757642788,23.09101558,-3.406893135,26.37185548,52.47704087,56.20337629,1,0,1,1,0,0,0,1
36634019,14.84024643,30.71896834,28.08356456,31.37513632,49.21259843,57.41469816,0,3.787,2.5,0,0,1,0,0
36634119,14.84024643,18.25177674,15.49641441,31.04705233,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36634219,15.16833042,18.25177674,28.08356456,18.90794471,49.21259843,56.92257218,0,3.787,2.5,0,0,1,0,0
36634319,27.09931259,18.57986073,28.08356456,31.04705233,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36634419,16.90061388,15.69272162,19.66964275,19.67688411,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36634519,26.04566211,21.36857464,28.11637296,28.14350902,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36634619,-4.757642788,-7.994942424,-3.937432815,5.128417156,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36634719,-4.347537802,4.308207182,8.398525191,5.128417156,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36634819,7.742357212,-7.994942424,8.398525191,4.718312169,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36634919,-4.347537802,-7.994942424,8.070441201,-7.338774445,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36635019,0.583564561,-10.55399754,3.352593432,-6.56983505,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36635119,-4.757642788,-3.155703579,-3.406893135,0.125136316,52.47704087,56.20337629,1,0,1,1,0,0,0,1
36635219,-4.757642788,-34.24166158,-3.937432815,-21.118302,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36635319,-4.347537802,-21.93851198,8.398525191,-21.118302,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36635419,7.742357212,-34.24166158,8.398525191,-21.52840699,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36635519,-4.347537802,-34.24166158,8.070441201,-33.58549361,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36635619,0.583564561,-36.8007167,3.352593432,-32.81655421,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36635719,-4.757642788,-29.40242274,-3.406893135,-26.12158284,52.47704087,56.20337629,1,0,1,1,0,0,0,1
36635819,-4.757642788,-60.48838074,-3.937432815,-47.36502116,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36635919,-4.347537802,-48.18523114,8.398525191,-47.36502116,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36636019,7.742357212,-60.48838074,8.398525191,-47.77512615,49.21259843,57.41469816,0,3.775,2.5,0,0,1,0,0
36636119,-4.347537802,-60.48838074,8.070441201,-59.83221277,49.21259843,57.41469816,0,3.785,2.5,0,0,1,0,0
36636219,3.897212855,-63.04743586,6.666241726,-59.06327337,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36636319,-4.757642788,-55.6491419,-3.406893135,-52.368302,52.47704087,56.20337629,1,0,1,1,0,0,0,1
36636419,34.64118025,30.75716083,47.75020549,31.41332881,49.21259843,57.41469816,0,3.771,2.5,0,0,1,0,0
36636519,34.64118025,18.28996923,35.29734823,31.08524482,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36636619,34.96926424,18.28996923,47.75020549,18.94613721,49.21259843,56.92257218,0,3.771,2.5,0,0,1,0,0
36636719,46.92999552,18.61805322,47.75020549,31.08524482,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36636819,39.96805326,15.73091411,42.73708214,19.71507661,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36636919,46.39945584,23.15381438,47.75020549,26.43465427,52.65748031,56.38381574,1,0,1,1,0,0,0,1
36637019,14.84024643,4.472249177,28.08356456,5.128417156,49.21259843,57.41469816,0,3.787,2.5,0,0,1,0,0
36637119,14.84024643,-7.994942424,15.49641441,4.800333166,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36637219,15.16833042,-7.994942424,28.08356456,-7.338774445,49.21259843,56.92257218,0,3.787,2.5,0,0,1,0,0
36637319,27.09931259,-7.666858435,28.08356456,4.800333166,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36637419,16.90061388,-10.55399754,19.66964275,-6.56983505,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36637519,26.04566211,-4.878144524,28.11637296,1.896789859,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36637619,14.84024643,-21.77446998,28.08356456,-21.118302,49.21259843,57.41469816,0,3.787,2.5,0,0,1,0,0
36637719,14.84024643,-34.24166158,15.49641441,-21.44638599,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36637819,15.16833042,-34.24166158,28.08356456,-33.58549361,49.21259843,56.92257218,0,3.787,2.5,0,0,1,0,0
36637919,27.09931259,-33.91357759,28.08356456,-21.44638599,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36638019,16.90061388,-36.8007167,19.66964275,-32.81655421,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36638119,26.04566211,-31.12486368,28.11637296,-24.3499293,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36638219,14.92739658,-48.02118914,28.08356456,-47.36502116,49.21259843,57.41469816,0,3.76,2.5,0,0,1,0,0
36638319,14.92739658,-60.48838074,15.58356456,-47.69310515,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36638419,15.25548057,-60.48838074,28.08356456,-59.83221277,49.21259843,56.92257218,0,3.76,2.5,0,0,1,0,0
36638519,27.09931259,-60.16029675,28.08356456,-47.69310515,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
36638619,20.30141233,-63.04743586,23.0704412,-59.06327337,49.11417323,56.06955381,1.414,0,2.02,0.7,0,0,1,0
36638719,26.04566211,-57.37158284,28.11637296,-50.59664846,52.60826772,55.98753281,1,0,1,1,0,0,0,1
36638819,34.64118025,4.510441672,47.75020549,5.166609651,49.21259843,57.41469816,0,3.771,2.5,0,0,1,0,0
36638919,34.64118025,-7.956749929,35.29734823,4.838525662,49.21259843,56.92257218,0,3.8,2.5,0,0,1,0,0
