Source,Target
3559711,3560221
3559751,3560231
3559791,3560241
3559601,3560251
3559641,3560261
3559681,3560271
3559721,3560281
3559761,3560291
3561761,3562331
3561801,3562341
3561841,3562351
3561881,3562361
3561921,3562371
3561731,3562381
3561771,3562391
3561811,3562401
3561851,3562411
3561891,3562421
3563891,3564461
3563931,3564471
3563971,3564481
3564011,3564491
3564051,3564501
3563861,3564511
3563901,3564521
3563941,3564531
3563981,3564541
3564021,3564551
3573511,3573611
3573651,3573661
3573781,3573801
3573931,3574071
3574051,3574081
3573481,3574181
3573621,3574191
3573791,3574201
3573901,3574211
3574061,3574221
3575611,3575711
3575751,3575761
3575881,3575901
3576031,3576171
3576151,3576181
3575581,3576281
3575721,3576291
3575891,3576301
3576001,3576311
3576161,3576321
3577891,3577991
3578031,3578041
3578161,3578181
3578311,3578451
3578431,3578461
3577861,3578561
3578001,3578571
3578171,3578581
3578281,3578591
3578441,3578601
3580171,3580271
3580311,3580321
3580441,3580461
3580591,3580731
3580711,3580741
3580141,3580841
3580281,3580851
3580451,3580861
3580561,3580871
3580721,3580881
3593251,3593351
3593391,3593401
3593521,3593541
3593671,3593811
3593791,3593821
3593221,3593921
3593361,3593931
3593531,3593941
3593641,3593951
3593801,3593961
3595511,3595611
3595651,3595661
3595781,3595801
3595931,3596071
3596051,3596081
3595481,3596181
3595621,3596191
3595791,3596201
3595901,3596211
3596061,3596221
3597771,3597871
3597911,3597921
3598041,3598061
3598191,3598331
3598311,3598341
3597741,3598441
3597881,3598451
3598051,3598461
3598161,3598471
3598321,3598481
3640441,3237271
3640441,3248961
3640441,3250091
3640511,3548371
3640511,3548381
3640511,3548391
3640541,3555381
3640541,3555391
3640541,3555401
3640541,3555411
3640571,3573351
3640571,3573361
3640571,3573371
3640571,3573381
3641801,3511161
3641801,3511181
3641831,3559491
3641831,3559511
3641861,3575461
3641861,3575481
3641891,3593101
3641891,3593121
3641921,3535391
3641921,3541471
3641951,3561631
3641951,3561641
3641981,3577751
3641981,3577761
3642011,3595371
3642011,3595381
3642041,3543081
3642071,3563771
3642101,3580041
3642131,3597641
3642381,3268231
3642381,3272021
3642381,3271271
3642381,3268871
3642421,3548481
3642421,3548511
3642421,3548501
3642421,3548491
3642451,3555511
3642451,3555521
3642451,3555531
3642451,3555541
3642481,3573481
3642481,3573491
3642481,3573501
3642481,3573511
3642571,3511341
3642571,3511371
3642571,3511361
3642571,3511351
3642601,3559601
3642601,3559631
3642601,3559621
3642601,3559611
3642631,3575581
3642631,3575591
3642631,3575601
3642631,3575611
3642661,3593221
3642661,3593231
3642661,3593241
3642661,3593251
3642691,3535481
3642691,3535511
3642691,3535501
3642691,3535491
3642721,3561731
3642721,3561761
3642721,3561751
3642721,3561741
3642751,3577861
3642751,3577871
3642751,3577881
3642751,3577891
3642781,3595481
3642781,3595491
3642781,3595501
3642781,3595511
3642871,3543171
3642871,3543201
3642871,3543191
3642871,3543181
3642901,3563861
3642901,3563891
3642901,3563881
3642901,3563871
3642931,3580141
3642931,3580151
3642931,3580161
3642931,3580171
3642961,3597741
3642961,3597751
3642961,3597761
3642961,3597771
3643021,3543211
3643021,3543241
3643021,3543231
3643021,3543221
3643061,3563901
3643061,3563931
3643061,3563921
3643061,3563911
3643091,3580281
3643091,3580291
3643091,3580301
3643091,3580311
3643121,3597881
3643121,3597891
3643121,3597901
3643121,3597911
3643181,3535521
3643181,3535551
3643181,3535541
3643181,3535531
3643211,3561771
3643211,3561801
3643211,3561791
3643211,3561781
3643241,3578001
3643241,3578011
3643241,3578021
3643241,3578031
3643271,3595621
3643271,3595631
3643271,3595641
3643271,3595651
3643301,3593361
3643301,3593371
3643301,3593381
3643301,3593391
3643331,3575721
3643331,3575731
3643331,3575741
3643331,3575751
3643361,3559641
3643361,3559671
3643361,3559661
3643361,3559651
3643391,3511381
3643391,3511411
3643391,3511401
3643391,3511391
3643451,3273301
3643451,3273331
3643451,3273321
3643451,3273311
3643481,3548521
3643481,3548551
3643481,3548541
3643481,3548531
3643511,3555651
3643511,3555661
3643511,3555671
3643511,3555681
3643541,3573621
3643541,3573631
3643541,3573641
3643541,3573651
3643641,3273981
3643641,3274011
3643641,3274001
3643641,3273991
3643681,3548561
3643681,3548591
3643681,3548581
3643681,3548571
3643711,3555791
3643711,3555801
3643711,3555811
3643711,3555821
3643741,3573761
3643741,3573771
3643741,3573781
3643741,3573791
3643801,3511421
3643801,3511451
3643801,3511441
3643801,3511431
3643831,3559681
3643831,3559711
3643831,3559701
3643831,3559691
3643861,3575861
3643861,3575871
3643861,3575881
3643861,3575891
3643891,3593501
3643891,3593511
3643891,3593521
3643891,3593531
3643921,3595761
3643921,3595771
3643921,3595781
3643921,3595791
3643951,3578141
3643951,3578151
3643951,3578161
3643951,3578171
3643981,3561811
3643981,3561841
3643981,3561831
3643981,3561821
3644011,3535561
3644011,3535591
3644011,3535581
3644011,3535571
3644071,3543251
