id,head_height,mark,classification
1021051,205.0,593,door
1021052,205.0,594,door
1021053,205.0,595,door
1021054,205.0,601,door
1021098,210.0,602,door
1025802,210.0,1752,door
1030438,210.0,1767,door
1039563,210.0,1248,door
1045015,210.0,1364,door
1048742,210.0,604,door
1065812,430.0,1216,door
1218996,205.0,498,door
1218997,205.0,1367,door
1218999,202.0,1368,door
1219000,205.0,1369,door
1219033,210.0,1370,door
1219057,205.0,1373,door
1221858,205.0,499,door
1221859,205.0,500,door
1221861,202.0,501,door
1221862,205.0,502,door
1221895,210.0,503,door
1221919,205.0,504,door
1221968,205.0,505,door
1221969,205.0,506,door
1221971,202.0,507,door
1221972,205.0,508,door
1222005,210.0,509,door
1222029,205.0,510,door
1222074,205.0,511,door
1222075,205.0,512,door
1222077,202.0,514,door
1222078,205.0,517,door
1222111,210.0,518,door
1222135,205.0,520,door
1222180,205.0,521,door
1222181,205.0,522,door
1222183,202.0,523,door
1222184,205.0,524,door
1222217,210.0,525,door
1222241,205.0,533,door
1222286,205.0,538,door
1222287,205.0,562,door
1222289,202.0,565,door
1222290,205.0,577,door
1222323,210.0,581,door
1222347,205.0,599,door
1222392,205.0,605,door
1222393,205.0,606,door
1222395,202.0,607,door
1222396,205.0,608,door
1222429,210.0,609,door
1222453,205.0,610,door
1222498,205.0,611,door
1222499,205.0,612,door
1222501,202.0,613,door
1222502,205.0,614,door
1222535,210.0,615,door
1222559,205.0,616,door
1222604,205.0,617,door
1222605,205.0,618,door
1222607,202.0,619,door
1222608,205.0,620,door
1222641,210.0,621,door
1222665,205.0,622,door
1222710,205.0,623,door
1222711,205.0,624,door
1222713,202.0,625,door
1222714,205.0,626,door
1222747,210.0,627,door
1222771,205.0,628,door
1222816,205.0,629,door
1222817,205.0,630,door
1222819,202.0,631,door
1222820,205.0,632,door
1222853,210.0,633,door
1222877,205.0,634,door
1223286,205.0,636,door
1223288,202.0,637,door
1223289,205.0,638,door
1223322,210.0,639,door
1223346,205.0,640,door
1256997,205.0,641,door
1268049,210.0,1761,door
1315819,205.0,644,door
1340333,210.0,645,door
1340500,210.0,646,door
1392094,202.0,1749,door
1392095,205.0,1750,door
1392096,205.0,1753,door
1392097,205.0,1755,door
1392127,210.0,1757,door
1392137,205.0,647,door
1392138,205.0,648,door
1554366,,,door
1580636,207.0,1593,door
1580867,207.0,649,door
1586229,207.0,985,door
1586239,207.0,1139,door
1586249,207.0,1148,door
1586259,207.0,1150,door
1586269,207.0,1151,door
1586279,207.0,1154,door
1586289,207.0,1155,door
1586299,207.0,1158,door
1586309,207.0,1179,door
1586319,207.0,1191,door
1586329,207.0,1197,door
1586339,207.0,1207,door
1586349,207.0,1208,door
1586359,207.0,1209,door
1586369,207.0,1210,door
1586379,207.0,1211,door
1586389,207.0,1212,door
1586399,207.0,1213,door
1586409,207.0,1214,door
1586419,207.0,1215,door
1586429,207.0,1217,door
1586958,205.0,1218,door
1587533,205.0,534,door
1587547,205.0,536,door
1587554,205.0,537,door
1587561,205.0,642,door
1587568,205.0,650,door
1587575,205.0,651,door
1587582,205.0,652,door
1587589,205.0,653,door
1587596,205.0,654,door
1589181,205.0,1219,door
1590116,205.0,1351,door
1590149,205.0,1371,door
1590182,205.0,1372,door
1590213,205.0,1374,door
1590244,205.0,1375,door
1590275,205.0,1376,door
1590306,205.0,1377,door
1590337,205.0,1378,door
1590368,205.0,1379,door
1590460,207.0,1380,door
1591028,207.0,93,door
1591030,207.0,141,door
1591032,207.0,195,door
1591034,207.0,243,door
1591036,207.0,291,door
1591038,207.0,339,door
1591040,207.0,387,door
1591042,207.0,465,door
1591044,207.0,566,door
1591883,207.0,655,door
1592087,207.0,656,door
1592363,207.0,657,door
1592766,205.0,658,door
1593031,207.0,1244,door
1593617,205.0,659,door
1594279,205.0,660,door
1611981,210.00000000000034,1623,door
1612970,210.0,1365,door
1612972,210.0,1381,door
1612973,210.0,1382,door
1612974,210.0,1383,door
1612975,210.0,1384,door
1612978,210.0,1386,door
1612979,210.0,1387,door
1613614,210.0,1435,door
1613615,200.0,1436,door
1613616,210.0,1437,door
1613617,210.0,1438,door
1613618,210.0,1439,door
1613620,210.0,1441,door
1613621,210.0,1442,door
1613626,210.00000000000023,1445,door
1613684,210.0,1490,door
1613685,210.0,1491,door
1613686,210.0,1492,door
1613687,210.0,1493,door
1613688,210.0,1494,door
1613690,200.0,1496,door
1613691,210.0,1497,door
1613860,210.0,1501,door
1613861,210.0,1502,door
1613862,210.0,1503,door
1613890,210.00000000000034,1508,door
1618789,210.0,1509,door
1618790,210.0,1510,door
1619037,210.0,1533,door
1619038,210.0,1534,door
1620666,210.0,1535,door
1620667,210.0,1536,door
1621089,210.0,1545,door
1621090,210.0,1546,door
1651320,210.0,1487,door
1651509,210.0,661,door
1651694,200.0,663,door
1823261,205.0,1245,door
1824648,205.0,1246,door
2025515,210.00000000000023,2112,door
2328491,210.0,664,door
2472647,205.0,539,door
2472930,205.0,540,door
2472932,205.0,556,door
2472934,205.0,557,door
2472936,205.0,567,door
2472938,205.0,574,door
2472940,205.0,585,door
2472942,205.0,597,door
2472944,205.0,603,door
2472946,205.0,635,door
2792148,210.0,667,door
2833720,202.0,1314,door
2833721,205.0,1317,door
2833722,205.0,1318,door
2833723,205.0,1319,door
2833724,205.0,1320,door
2833725,205.0,1321,door
2833726,205.0,1322,door
2833727,205.0,1323,door
2833744,210.0,1324,door
2833759,207.0,1325,door
3044842,210.0,643,door
3044843,210.0,665,door
3044918,210.0,669,door
3044919,210.0,670,door
3044920,210.0,671,door
3044921,210.0,672,door
3044922,210.0,673,door
3044924,210.0,675,door
3044925,210.0,676,door
3044928,210.0,677,door
3044929,210.0,678,door
3051389,210.0,679,door
3051390,210.0,680,door
3051462,210.0,683,door
3051463,210.0,684,door
3051464,210.0,685,door
3051465,210.0,686,door
3051466,210.0,687,door
3051468,210.0,689,door
3051469,210.0,690,door
3051472,210.0,691,door
3051473,210.0,692,door
3052470,210.0,693,door
3052471,210.0,694,door
3052543,210.0,697,door
3052544,210.0,698,door
3052545,210.0,699,door
3052546,210.0,700,door
3052547,210.0,701,door
3052549,210.0,703,door
3052550,210.0,704,door
3052553,210.0,705,door
3052554,210.0,706,door
3052915,210.0,707,door
3052916,210.0,708,door
3052988,210.0,711,door
3052989,210.0,712,door
3052990,210.0,713,door
3052991,210.0,714,door
3052992,210.0,715,door
3052994,210.0,717,door
3052995,210.0,718,door
3052998,210.0,719,door
3052999,210.0,720,door
3055085,210.0,721,door
3055086,210.0,722,door
3055162,210.0,725,door
3055163,200.0,726,door
3055164,210.0,727,door
3055165,210.0,728,door
3055166,210.0,729,door
3055168,210.0,731,door
3055169,210.0,732,door
3055172,210.00000000000023,733,door
3055173,210.0,734,door
3055174,210.0,735,door
3055595,210.0,736,door
3055596,210.0,737,door
3055672,210.0,740,door
3055673,200.0,741,door
3055674,210.0,742,door
3055675,210.0,743,door
3055676,210.0,744,door
3055678,210.0,746,door
3055679,210.0,747,door
3055682,210.00000000000023,748,door
3055683,210.0,749,door
3055684,210.0,750,door
3056466,210.0,751,door
3056467,210.0,752,door
3056543,210.0,755,door
3056544,200.0,756,door
3056545,210.0,757,door
3056546,210.0,758,door
3056547,210.0,759,door
3056549,210.0,761,door
3056550,210.0,762,door
3056553,210.00000000000023,763,door
3056554,210.0,764,door
3056555,210.0,765,door
3057088,210.0,766,door
3057089,210.0,767,door
3057165,210.0,770,door
3057166,200.0,771,door
3057167,210.0,772,door
3057168,210.0,773,door
3057169,210.0,774,door
3057171,210.0,776,door
3057172,210.0,777,door
3057175,210.00000000000023,778,door
3057176,210.0,779,door
3057177,210.0,780,door
3493930,210.0,1702,door
3493935,210.0,1190,door
3494495,210.0,1703,door
3686292,220.0,2438,door
3686294,200.0,2439,door
3686295,210.0,2440,door
3687836,220.0,1193,door
3687838,200.0,1194,door
3687839,210.0,1198,door
3687878,220.0,1199,door
3687880,200.0,1200,door
3687881,210.0,1201,door
3687920,220.0,1202,door
3687922,200.0,1203,door
3687923,210.0,1204,door
3687962,220.0,1205,door
3687964,200.0,1206,door
3687965,210.0,1220,door
3718602,220.0,1221,door
3718604,200.0,1222,door
3718605,210.0,1223,door
3719024,220.0,1224,door
3719026,200.0,1225,door
3719027,210.0,1226,door
3719047,220.0,1227,door
3719049,200.0,1228,door
3719050,210.0,1229,door
3719070,220.0,1230,door
3719072,200.0,1231,door
3719073,210.0,1232,door
3719093,220.0,1233,door
3719095,200.0,1234,door
3719096,210.0,1235,door
3719265,220.0,1236,door
3719267,200.0,1237,door
3719268,210.0,1238,door
3719580,220.0,1239,door
3731892,210.00000000000034,1242,door
3733607,220.0,1243,door
3760556,210.0,1328,door
3817743,210.0,1336,door
3817858,210.0,1337,door
3826707,210.0,1338,door
3829467,200.0,1241,door
3829487,210.0,1247,door
4000687,210.0,1249,door
4000688,210.0,1250,door
4000696,210.0,1251,door
4000697,210.0,1253,door
4000706,210.0,1313,door
4000707,210.0,1315,door
4000715,210.0,1316,door
4000716,210.0,1339,door
4000723,210.0,1340,door
4000724,210.0,1341,door
4000735,210.0,535,door
4000736,210.0,1342,door
4000744,210.0,1343,door
4000745,210.0,1344,door
