id,area,level,name,perimeter,unbounded_height,classification
1107606,3.0306875582311044,מ' 26 בניין 3- קומה 9,ח.שירות,701.0564591265919,243.84,space
1107608,9.700737225648918,מ' 26 בניין 3- קומה 9,SR,1261.3446247865747,243.84,space
1107620,10.61297280737798,מ' 26 בניין 3- קומה 9,מטבח,1322.3901364618262,243.84,space
1107625,10.67992304873862,מ' 26 בניין 3- קומה 9,מטבח,1325.8513862351892,243.84,space
1107627,15.688766470863303,מ' 26 בניין 3- קומה 9,ח.דיור,1592.9453449073662,243.84,space
1107629,16.175819681546958,מ' 26 בניין 3- קומה 9,ח.דיור,1612.1410235864082,243.84,space
1107631,11.009999999999993,מ' 26 בניין 3- קומה 9,ח.שינה 1,1333.9999999999993,243.84,space
1107633,10.360000000000005,מ' 26 בניין 3- קומה 9,SR,1300.0000000000002,243.84,space
1107638,8.624126943033872,מ' 26 בניין 3- קומה 9,מטבח,1216.7230400000008,243.84,space
1107640,3.3631702542184527,מ' 26 בניין 3- קומה 9,מ.שירות,740.8044416166957,243.84,space
1107642,14.087676138991103,מ' 26 בניין 3- קומה 9,ח.דיור,1501.449183202959,243.84,space
1107645,7.2370670194814455,מ' 26 בניין 3- קומה 9,פ.אוכל,1087.3406251854,243.84,space
1107652,10.324971109933305,מ' 26 בניין 3- קומה 10,ח.שינה 3,1289.9980413514108,243.84,space
1107654,10.32497110988126,מ' 26 בניין 3- קומה 10,ח.שינה 4,1289.9980413478902,243.84,space
1107656,3.0306875582311306,מ' 26 בניין 3- קומה 10,ח.שירות,701.0564591265921,243.84,space
1107658,9.700737225648917,מ' 26 בניין 3- קומה 10,SR,1261.3446247865745,243.84,space
1107661,9.664503954723841,מ' 26 בניין 3- קומה 10,SR,1282.0610612940052,243.84,space
1107663,11.167372579221588,מ' 26 בניין 3- קומה 10,ח.שינה 1,1362.8890372539806,243.84,space
1107665,3.4253248152044002,מ' 26 בניין 3- קומה 10,ח.שירות,770.6646624010336,243.84,space
1107667,11.163697624338425,מ' 26 בניין 3- קומה 10,ח.שינה 1,1362.350287027366,243.84,space
1107669,9.661353954723689,מ' 26 בניין 3- קומה 10,SR,1272.0610612939752,243.84,space
1107673,0.937609829702737,מ' 26 בניין 3- קומה 10,מטבח,430.98191351003084,243.84,space
1107674,9.93326618817189,מ' 26 בניין 3- קומה 10,מטבח,1285.7325631442748,243.84,space
