id,head_height,mark,classification
1222521,203.5,618,window
1222522,206.0,619,window
1222578,385.0,721,window
1222600,210.99999999998198,723,window
1222624,214.00000000000003,724,window
1222625,206.49999999997095,725,window
1222626,203.00000000001873,726,window
1222627,203.5,727,window
1222628,206.0,728,window
1222684,385.0,732,window
1222706,210.99999999998198,734,window
1222730,214.00000000000003,735,window
1222731,206.49999999997095,736,window
1222732,203.00000000001873,737,window
1222733,203.5,738,window
1222734,206.0,739,window
1222790,385.0,743,window
1222812,210.99999999998198,745,window
1222836,214.00000000000003,746,window
1222837,206.49999999997095,747,window
1222838,203.00000000001873,748,window
1222839,203.5,749,window
1222840,206.0,750,window
1222896,385.0,758,window
1223281,210.999999999993,760,window
1223305,214.00000000000003,761,window
1223306,206.49999999999918,762,window
1223307,203.0000000000196,763,window
1223308,205.49999999999997,764,window
1223309,206.0000000000208,765,window
1256998,214.50000000000003,1095,window
1268520,206.0,955,window
1392114,202.9999999999861,1091,window
1392115,202.99999999998718,1092,window
1392116,202.9999999999964,1093,window
1392117,206.49999999999758,1094,window
1392118,206.0,1096,window
1392123,214.00000000000003,1097,window
1392126,210.99999999999088,1098,window
1584530,385.0,401,window
1584531,385.0,771,window
1584532,385.0,772,window
1584533,385.0,773,window
1584551,385.0,774,window
1584762,385.0,791,window
1584763,385.0,792,window
1584764,385.0,793,window
1584801,385.0,794,window
1586230,385.00000000000006,805,window
1586231,385.00000000000006,806,window
1586232,385.00000000000006,807,window
1586233,385.00000000000006,808,window
1586234,385.00000000000006,809,window
1586240,385.00000000000006,810,window
1586241,385.00000000000006,811,window
1586242,385.00000000000006,812,window
1586243,385.00000000000006,813,window
1586244,385.00000000000006,814,window
1586250,385.00000000000006,815,window
1586251,385.00000000000006,816,window
1586252,385.00000000000006,817,window
1586253,385.00000000000006,818,window
1586254,385.00000000000006,819,window
1586260,385.00000000000006,820,window
1586261,385.00000000000006,821,window
1586262,385.00000000000006,822,window
1586263,385.00000000000006,823,window
1586264,385.00000000000006,824,window
1586270,385.00000000000006,825,window
1586271,385.00000000000006,826,window
