id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width
1586233,-135.203137539284,605.707923769342,542.999999999967,-147.203137539285,567.076397289065,530.999999999967,,150,100
1586234,117.796862460813,377.90714448854,542.999999999967,65.6653359805366,365.907144488539,530.999999999967,,150,100
1586240,-1478.02453070161,605.707923769341,844.999999999967,-1490.02453070161,567.076397289065,832.999999999967,,150,100
1586241,-1318.49400005461,605.707923769342,849.999999999967,-1340.49400005461,567.076397289065,827.999999999967,,150,100
1586242,-1258.49400005461,605.707923769342,849.999999999967,-1280.49400005461,567.076397289065,827.999999999967,,150,100
1586243,-1373.02453070161,605.707923769342,844.999999999967,-1385.02453070161,567.076397289065,832.999999999967,,150,100
1586244,-1585.89300422143,377.90714448854,844.999999999967,-1638.0245307017,365.907144488539,832.999999999967,,150,100
1586250,-30.2031375392834,605.707923769341,844.999999999967,-42.2031375392845,567.076397289065,832.999999999967,,150,100
1586251,-179.733668186276,605.707923769342,849.999999999967,-201.733668186276,567.076397289065,827.999999999967,,150,100
1586252,-239.733668186276,605.707923769342,849.999999999967,-261.733668186276,567.076397289065,827.999999999967,,150,100
1586253,-135.203137539284,605.707923769342,844.999999999967,-147.203137539285,567.076397289065,832.999999999967,,150,100
1586254,117.796862460813,377.90714448854,844.999999999967,65.6653359805366,365.907144488539,832.999999999967,,150,100
1586260,-1478.02453070161,605.707923769341,1146.99999999997,-1490.02453070161,567.076397289065,1134.99999999997,,150,100
1586261,-1318.49400005461,605.707923769342,1151.99999999997,-1340.49400005461,567.076397289065,1129.99999999997,,150,100
1586262,-1258.49400005461,605.707923769342,1151.99999999997,-1280.49400005461,567.076397289065,1129.99999999997,,150,100
1586263,-1373.02453070161,605.707923769342,1146.99999999997,-1385.02453070161,567.076397289065,1134.99999999997,,150,100
1586264,-1585.89300422143,377.90714448854,1146.99999999997,-1638.0245307017,365.907144488539,1134.99999999997,,150,100
1586270,-30.2031375392834,605.707923769341,1146.99999999997,-42.2031375392845,567.076397289065,1134.99999999997,,150,100
1586271,-179.733668186276,605.707923769342,1151.99999999997,-201.733668186276,567.076397289065,1129.99999999997,,150,100
